name,cost,type,entertainment,region,subregion,currency,language,capital
China,Regular,,"[""Attractions"",""Relaxing""]",Asia,Eastern Asia,Chinese yuan,"[""Chinese""]",Beijing
Colombia,Low,"[""Friends""]","[""Adventure"",""Photography""]",Americas,South America,Colombian peso,"[""Spanish""]",Bogotá
Costa Rica,Regular,"[""Family"",""Couple""]","[""Adventure"",""Relaxing""]",Americas,Central America,Costa Rican colón,"[""Spanish""]",San José
Croatia,Low,"[""Family"",""Friends"",""Couple""]","[""Relaxing"",""Parties""]",Europe,Southern Europe,Croatian kuna,"[""Croatian""]",Zagreb
Cuba,Regular,"[""Solo"",""Friends""]",,Americas,Caribbean,Cuban convertible peso,"[""Spanish""]",Havana
Cyprus,Low,"[""Couple""]",,Europe,Southern Europe,Euro,"[""Greek"",""Turkish"",""Armenian""]",Nicosia
Czech Republic,Regular,"[""Friends"",""Couple""]","[""Attractions"",""Parties""]",Europe,Eastern Europe,Czech koruna,"[""Czech"",""Slovak""]",Prague
Denmark,Regular,"[""Friends""]",,Europe,Northern Europe,Danish krone,"[""Danish""]",Copenhagen
Dominican Republic,Regular,,"[""Adventure""]",Americas,Caribbean,Dominican peso,"[""Spanish""]",Santo Domingo
Ecuador,Regular,,"[""Adventure""]",Americas,South America,United States dollar,"[""Spanish""]",Quito
Egypt,Regular,,"[""Adventure"",""Attractions""]",Africa,Northern Africa,Egyptian pound,"[""Arabic""]",Cairo
Estonia,Low,"[""Friends""]",,Europe,Northern Europe,Euro,"[""Estonian""]",Tallinn
Fiji,Regular,"[""Couple""]",,Oceania,Melanesia,Fijian dollar,"[""English"",""Fijian"",""Hindi"",""Urdu""]",Suva
Finland,Regular,"[""Friends""]","[""Relaxing""]",Europe,Northern Europe,Euro,"[""Finnish"",""Swedish""]",Helsinki
France,Regular,"[""Solo"",""Family"",""Friends"",""Couple""]","[""Attractions"",""Relaxing"",""Photography"",""Parties""]",Europe,Western Europe,Euro,"[""French""]",Paris
French Polynesia,Regular,"[""Couple""]","[""Relaxing""]",Oceania,Polynesia,CFP franc,"[""French""]",Papeetē
Germany,Regular,"[""Solo"",""Family""]","[""Photography""]",Europe,Western Europe,Euro,"[""German""]",Berlin
Greece,Low,"[""Solo"",""Friends"",""Couple""]","[""Attractions"",""Relaxing"",""Photography""]",Europe,Southern Europe,Euro,"[""Greek""]",Athens
Greenland,Regular,,"[""Adventure""]",Americas,Northern America,Danish krone,"[""Kalaallisut""]",Nuuk
Grenada,Regular,"[""Family"",""Couple""]",,Americas,Caribbean,East Caribbean dollar,"[""English""]",St. George's
Guatemala,Low,"[""Friends""]","[""Adventure"",""Relaxing""]",Americas,Central America,Guatemalan quetzal,"[""Spanish""]",Guatemala City
